Index	higherClassification
Angiosperms	.*?\|Coccolobites\|.*?
Angiosperms	.*?\|Cochliocarpus\|.*?
Angiosperms	.*?\|Codonophora\|.*?
Angiosperms	.*?\|Coffea\|.*?
Angiosperms	.*?\|Colchicum\|.*?
Angiosperms	.*?\|Coldenia\|.*?
Angiosperms	.*?\|Collinsonia\|.*?
Angiosperms	.*?\|Comarum\|.*?
Angiosperms	.*?\|Combretaceae\|.*?
Angiosperms	.*?\|Commelina\|.*?
Angiosperms	.*?\|Commelinaceae\|.*?
Angiosperms	.*?\|Commelinacites\|.*?
Angiosperms	.*?\|Commelinales\|.*?
Angiosperms	.*?\|Comptonites\|.*?
Angiosperms	.*?\|Conchocaryon\|.*?
Angiosperms	.*?\|Conium\|.*?
Angiosperms	.*?\|Connaraceae\|.*?
Angiosperms	.*?\|Connarus\|.*?
Angiosperms	.*?\|Convallaria\|.*?
Angiosperms	.*?\|Convolvulaceae\|.*?
Angiosperms	.*?\|Conyza\|.*?
Angiosperms	.*?\|Coreopsis\|.*?
Angiosperms	.*?\|Coriandrum\|.*?
Angiosperms	.*?\|Corispermum\|.*?
Angiosperms	.*?\|Cornaceae\|.*?
Angiosperms	.*?\|Cornales\|.*?
Angiosperms	.*?\|Cornoxylon\|.*?
Angiosperms	.*?\|Cornucopiae\|.*?
Angiosperms	.*?\|Corrigiola\|.*?
Angiosperms	.*?\|Cortusa\|.*?
Angiosperms	.*?\|Corymbium\|.*?
Angiosperms	.*?\|Coryphoicarpus\|.*?
Angiosperms	.*?\|Costaceae\|.*?
Angiosperms	.*?\|Costus\|.*?
Angiosperms	.*?\|Cotula\|.*?
Angiosperms	.*?\|Cracca\|.*?
Angiosperms	.*?\|Craniolaria\|.*?
Angiosperms	.*?\|Crassulaceae\|.*?
Angiosperms	.*?\|Crataegites\|.*?
Angiosperms	.*?\|Crateva\|.*?
Angiosperms	.*?\|Crinum\|.*?
Angiosperms	.*?\|Crithmum\|.*?
Angiosperms	.*?\|Crocus\|.*?
Angiosperms	.*?\|Crossosomatales\|.*?
Angiosperms	.*?\|Cucurbitaceae\|.*?
Angiosperms	.*?\|Cucurbitales\|.*?
Angiosperms	.*?\|Cuminum\|.*?
Angiosperms	.*?\|Cunoniaceae\|.*?
Angiosperms	.*?\|Curcuma\|.*?
Angiosperms	.*?\|Cyclamen\|.*?
Angiosperms	.*?\|Cyclanthaceae\|.*?
Angiosperms	.*?\|Cymodoceaceae\|.*?
Angiosperms	.*?\|Cymodoceites\|.*?
Angiosperms	.*?\|Cynanchum\|.*?
Angiosperms	.*?\|Cynara\|.*?
Angiosperms	.*?\|Cynarocephalus\|.*?
Angiosperms	.*?\|Cynoglossum\|.*?
Angiosperms	.*?\|Cynosurus\|.*?
Angiosperms	.*?\|Cyperaceae\|.*?
Angiosperms	.*?\|Cyperocaulon\|.*?
Angiosperms	.*?\|Cypripedium\|.*?
Angiosperms	.*?\|Cyrillaceae\|.*?
Angiosperms	.*?\|Cyrilloxylon\|.*?
Angiosperms	.*?\|Cytisus\|.*?
Angiosperms	.*?\|Dactylis\|.*?
Angiosperms	.*?\|Dalibarda\|.*?
Angiosperms	.*?\|Dasyphyllum\|.*?
Angiosperms	.*?\|Daucus\|.*?
Angiosperms	.*?\|Debeya\|.*?
Angiosperms	.*?\|Decagonocarpus\|.*?
Angiosperms	.*?\|Delgadopsis\|.*?
Angiosperms	.*?\|Delphinium\|.*?
Angiosperms	.*?\|Dianthera\|.*?
Angiosperms	.*?\|Diapensia\|.*?
Angiosperms	.*?\|Dichapetalaceae\|.*?
Angiosperms	.*?\|Diclidocarya\|.*?
Angiosperms	.*?\|Dicotyledones\|.*?
Angiosperms	.*?\|Dictamnus\|.*?
Angiosperms	.*?\|Dilleniaceae\|.*?
Angiosperms	.*?\|Dilleniales\|.*?
Angiosperms	.*?\|Diodia\|.*?
Angiosperms	.*?\|Dioscoreaceae\|.*?
Angiosperms	.*?\|Dioscoreales\|.*?
Angiosperms	.*?\|Dioscoroides\|.*?
Angiosperms	.*?\|Diosma\|.*?
Angiosperms	.*?\|Dipsacales\|.*?
Angiosperms	.*?\|Dirca\|.*?
Angiosperms	.*?\|Dodartia\|.*?
Angiosperms	.*?\|Dodecatheon\|.*?
Angiosperms	.*?\|Dolichos\|.*?
Angiosperms	.*?\|Doronicum\|.*?
Angiosperms	.*?\|Draba\|.*?
Angiosperms	.*?\|Dracaenophyllum\|.*?
Angiosperms	.*?\|Dracocephalum\|.*?
Angiosperms	.*?\|Dracontium\|.*?
Angiosperms	.*?\|Droseraceae\|.*?
Angiosperms	.*?\|Dryandrophyllum\|.*?
Angiosperms	.*?\|Drypis\|.*?
Angiosperms	.*?\|Duranta\|.*?
Angiosperms	.*?\|Ebenaceae\|.*?
Angiosperms	.*?\|Ebenus\|.*?
Angiosperms	.*?\|Echium\|.*?
Angiosperms	.*?\|Eisothecaryon\|.*?
Angiosperms	.*?\|Elaeagnaceae\|.*?
Angiosperms	.*?\|Elaeagnites\|.*?
Angiosperms	.*?\|Elaeocarpaceae\|.*?
Angiosperms	.*?\|Elatinaceae\|.*?
Angiosperms	.*?\|Elatine\|.*?
Angiosperms	.*?\|Embothrium\|.*?
Angiosperms	.*?\|Entandrophragmoxylon\|.*?
Angiosperms	.*?\|Epidendrum\|.*?
Angiosperms	.*?\|Epigaea\|.*?
Angiosperms	.*?\|Epimedium\|.*?
Angiosperms	.*?\|Ericaceae\|.*?
Angiosperms	.*?\|Ericaceoxylon\|.*?
Angiosperms	.*?\|Ericales\|.*?
Angiosperms	.*?\|Erigeron\|.*?
Angiosperms	.*?\|Eriocaulaceae\|.*?
Angiosperms	.*?\|Eriocephalus\|.*?
Angiosperms	.*?\|Eriophorum\|.*?
Angiosperms	.*?\|Ervum\|.*?
Angiosperms	.*?\|Eryngium\|.*?
Angiosperms	.*?\|Erysimum\|.*?
Angiosperms	.*?\|Erythronium\|.*?
Angiosperms	.*?\|Erythroxylaceae\|.*?
Angiosperms	.*?\|Escalloniaceae\|.*?
Angiosperms	.*?\|Escalloniales\|.*?
Angiosperms	.*?\|Eucaryoxylon\|.*?
Angiosperms	.*?\|Eupatorium\|.*?
Angiosperms	.*?\|Euphorbiaceae\|.*?
Angiosperms	.*?\|Euphrasia\|.*?
Angiosperms	.*?\|Euphroniaceae\|.*?
Angiosperms	.*?\|Exacum\|.*?
Angiosperms	.*?\|Fabaceae\|.*?
Angiosperms	.*?\|Fabales\|.*?
Angiosperms	.*?\|Fagales\|.*?
Angiosperms	.*?\|Fagaroxylon\|.*?
Angiosperms	.*?\|Fasciculites\|.*?
Angiosperms	.*?\|Fegonium\|.*?
Angiosperms	.*?\|Ferula\|.*?
Angiosperms	.*?\|Filago\|.*?
Angiosperms	.*?\|Finlaysonia\|.*?
Angiosperms	.*?\|Flacourtiaceae\|.*?
Angiosperms	.*?\|Fracastoria\|.*?
Angiosperms	.*?\|Frankenia\|.*?
Angiosperms	.*?\|Galanthus\|.*?
Angiosperms	.*?\|Galax\|.*?
Angiosperms	.*?\|Galega\|.*?
Angiosperms	.*?\|Garidella\|.*?
Angiosperms	.*?\|Garryales\|.*?
Angiosperms	.*?\|Gaura\|.*?
Angiosperms	.*?\|Gelsemiaceae\|.*?
Angiosperms	.*?\|Gentianaceae\|.*?
Angiosperms	.*?\|Gentianales\|.*?
Angiosperms	.*?\|Geraniaceae\|.*?
Angiosperms	.*?\|Geraniales\|.*?
Angiosperms	.*?\|Gesneriaceae\|.*?
Angiosperms	.*?\|Gethyllis\|.*?
Angiosperms	.*?\|Gladiolus\|.*?
Angiosperms	.*?\|Gleditschiacanthus\|.*?
Angiosperms	.*?\|Glinus\|.*?
Angiosperms	.*?\|Glycine\|.*?
Angiosperms	.*?\|Glycyrrhiza\|.*?
Angiosperms	.*?\|Gnaphalium\|.*?
Angiosperms	.*?\|Gomphrena\|.*?
Angiosperms	.*?\|Goodeniaceae\|.*?
Angiosperms	.*?\|Gossypium\|.*?
Angiosperms	.*?\|Goupiaceae\|.*?
Angiosperms	.*?\|Gratiola\|.*?
Angiosperms	.*?\|Grevilleophyllum\|.*?
Angiosperms	.*?\|Griseliniaceae\|.*?
Angiosperms	.*?\|Grislea\|.*?
Angiosperms	.*?\|Guajacites\|.*?
Angiosperms	.*?\|Guerezia\|.*?
Angiosperms	.*?\|Guilandina\|.*?
Angiosperms	.*?\|Gundelia\|.*?
Angiosperms	.*?\|Gunnera\|.*?
Angiosperms	.*?\|Gunneraceae\|.*?
Angiosperms	.*?\|Gunnerales\|.*?
Angiosperms	.*?\|Haemanthus\|.*?
Angiosperms	.*?\|Haematoxylum\|.*?
Angiosperms	.*?\|Haemodoraceae\|.*?
Angiosperms	.*?\|Haloragaceae\|.*?
Angiosperms	.*?\|Hauera\|.*?
Angiosperms	.*?\|Hebenstretia\|.*?
Angiosperms	.*?\|Hedychiophyllum\|.*?
Angiosperms	.*?\|Hedyotis\|.*?
Angiosperms	.*?\|Hedysarum\|.*?
Angiosperms	.*?\|Helenium\|.*?
Angiosperms	.*?\|Helianthus\|.*?
Angiosperms	.*?\|Heliconiaceae\|.*?
Angiosperms	.*?\|Helictoxylon\|.*?
Angiosperms	.*?\|Heliocarpus\|.*?
Angiosperms	.*?\|Helleborus\|.*?
Angiosperms	.*?\|Helonias\|.*?
Angiosperms	.*?\|Hemerocallis\|.*?
Angiosperms	.*?\|Heracleites\|.*?
Angiosperms	.*?\|Heracleum\|.*?
Angiosperms	.*?\|Hernandiaceae\|.*?
Angiosperms	.*?\|Herniaria\|.*?
Angiosperms	.*?\|Herreriaceae\|.*?
Angiosperms	.*?\|Hesperis\|.*?
Angiosperms	.*?\|Heuchera\|.*?
Angiosperms	.*?\|Hieracium\|.*?
Angiosperms	.*?\|Hippocrateoxylon\|.*?
Angiosperms	.*?\|Hiraeocarpum\|.*?
Angiosperms	.*?\|Holosteum\|.*?
Angiosperms	.*?\|Hordeum\|.*?
Angiosperms	.*?\|Horminum\|.*?
Angiosperms	.*?\|Hottonia\|.*?
Angiosperms	.*?\|Huerteales\|.*?
Angiosperms	.*?\|Humiriaceae\|.*?
Angiosperms	.*?\|Hyacinthus\|.*?
Angiosperms	.*?\|Hydnoraceae\|.*?
Angiosperms	.*?\|Hydrocharitaceae\|.*?
Angiosperms	.*?\|Hydroleaceae\|.*?
Angiosperms	.*?\|Hymenaeophyllum\|.*?
Angiosperms	.*?\|Hyoscyamus\|.*?
Angiosperms	.*?\|Hyoseris\|.*?
Angiosperms	.*?\|Hypecoum\|.*?
Angiosperms	.*?\|Hypericaceae\|.*?
Angiosperms	.*?\|Hypochaeris\|.*?
Angiosperms	.*?\|Hypoxidaceae\|.*?
Angiosperms	.*?\|Iberis\|.*?
Angiosperms	.*?\|Icacinaceae\|.*?
