Index	higherClassification
Mollusca	Animalia|Mollusca|Scenellidae|*
Mollusca	Animalia|Mollusca|Segmentaria|*
Mollusca	Animalia|Mollusca|Serinus|*
Mollusca	Animalia|Mollusca|Solenogastres|*
Mollusca	Animalia|Mollusca|Spartina|*
Mollusca	Animalia|Mollusca|Strigula|*
Mollusca	Animalia|Mollusca|Telephora|*
Mollusca	Animalia|Mollusca|Telephorus|*
Mollusca	Animalia|Mollusca|Tetrameres|*
Mollusca	Animalia|Mollusca|Tomocera|*
Mollusca	Animalia|Mollusca|Tristoma|*
Mollusca	Animalia|Mollusca|Trocophore|*
Mollusca	Animalia|Mollusca|Variabilis|*
Myriapoda	Animalia|Myriapoda|*
Cnidaria	Animalia|Myxozoa|*
Nematoda	Animalia|Nematoda|*
Animals	Animalia|Nematomorpha|*
Animals	Animalia|Nemertea|*
Lepidoptera	Animalia|Nymphidium|*
Animals	Animalia|Onychophora|*
Tetrapoda	Animalia|Opossum|*
Annelida	Animalia|Orthonectida|*
Crustacea	Animalia|Palemonidae|*
Animals	Animalia|Pauxillitidae|*
Lepidoptera	Animalia|Phalaenidae|*
Diptera	Animalia|Phaniosoma|*
Animals	Animalia|Phoronida|*
Animals	Animalia|Placozoa|*
Protists	Animalia|Plasmodium|*
Flatworms	Animalia|Platyhelminthes|*
Porifera	Animalia|Porifera|*
Animals	Animalia|Priapulida|*
Animals	Animalia|Problematica|*
Blattodea	Animalia|Pseudomopidae|*
Tetrapoda	Animalia|Pternistes|*
Tetrapoda	Animalia|Raorchestes|*
Animals	Animalia|Rhombozoa|*
Animals	Animalia|Rotifera|*
Tetrapoda	Animalia|Satanellus|*
Coleoptera	Animalia|Scolytidae|*
Coleoptera	Animalia|Sidis|*
Annelida	Animalia|Sipuncula|*
Diptera	Animalia|Stratiomyiidae|*
Diptera	Animalia|Syllegoptera|*
Animals	Animalia|Tardigrada|*
Animals	Animalia|Vendobionta|*
Flatworms	Animalia|Xenacoelomorpha|*
Angiosperms	Anisophylleaceae|*
Annelida	Annelida|*
Angiosperms	Annonaceae|*
Bryophytes	Anomodontaceae|*
Animals	Anopla|Heteronemertea|*
Hymenoptera	Anteon|*
Lepidoptera	Anthene|*
Bryophytes	Anthocerotaceae|*
Diptera	Anthomyiidae|*
Cnidaria	Anthozoa|*
Lepidoptera	Apatelodidae|*
Fungi	Aphelidea|*
Hymenoptera	Aphelopus|*
Angiosperms	Apiaceae|*
Protists	Apicomplexa|*
Angiosperms	Apocynaceae|*
Angiosperms	Apodanthaceae|*
Tunicata	Appendicularia|Copelata|*
Protists	Apusomonadida|*
Bacteria	Aquificae|*
Angiosperms	Aquifoliaceae|*
Angiosperms	Araceae|*
Angiosperms	Araliaceae|*
Arachnida	Araneidae|*
Gymnosperms	Araucariaceae|*
Archaea	Archaea|*
Fungi	Archaeosporaceae|*
Bryophytes	Archaeplastida|Bryophyta|*
Chlorophyta	Archaeplastida|Chlorophyta|*
Bryophytes	Archaeplastida|Marchantiophyta|*
Rhodophyta	Archaeplastida|Rhodophyta|*
Angiosperms	Archaeplastida|Tracheophyta|Acorales|*
Angiosperms	Archaeplastida|Tracheophyta|Alismatales|*
Angiosperms	Archaeplastida|Tracheophyta|Apiales|*
Angiosperms	Archaeplastida|Tracheophyta|Aquifoliales|*
Angiosperms	Archaeplastida|Tracheophyta|Arecales|*
Angiosperms	Archaeplastida|Tracheophyta|Asparagales|*
Angiosperms	Archaeplastida|Tracheophyta|Asterales|*
Angiosperms	Archaeplastida|Tracheophyta|Boraginales|*
Angiosperms	Archaeplastida|Tracheophyta|Brassicales|*
Angiosperms	Archaeplastida|Tracheophyta|Buxales|*
Angiosperms	Archaeplastida|Tracheophyta|Canellales|*
Angiosperms	Archaeplastida|Tracheophyta|Caryophyllales|*
Angiosperms	Archaeplastida|Tracheophyta|Celastrales|*
Angiosperms	Archaeplastida|Tracheophyta|Chloranthales|*
Angiosperms	Archaeplastida|Tracheophyta|Commelinales|*
Angiosperms	Archaeplastida|Tracheophyta|Cornales|*
Angiosperms	Archaeplastida|Tracheophyta|Crossosomatales|*
Angiosperms	Archaeplastida|Tracheophyta|Cucurbitales|*
Gymnosperms	Archaeplastida|Tracheophyta|Cycadopsida|*
Angiosperms	Archaeplastida|Tracheophyta|Dilleniales|*
Angiosperms	Archaeplastida|Tracheophyta|Dioscoreales|*
Angiosperms	Archaeplastida|Tracheophyta|Dipsacales|*
Angiosperms	Archaeplastida|Tracheophyta|Ericales|*
Angiosperms	Archaeplastida|Tracheophyta|Escalloniales|*
Angiosperms	Archaeplastida|Tracheophyta|Fabales|*
Angiosperms	Archaeplastida|Tracheophyta|Fagales|*
Angiosperms	Archaeplastida|Tracheophyta|Garryales|*
