t.name,t.uri
Christmas Island,http://www.geonames.org/2078138
Guinea-Bissau,http://www.geonames.org/2372248
Hong Kong,http://www.geonames.org/1819730
Gulf Of Tomini,http://www.marineregions.org/mrgid/4355
Georgia,http://www.geonames.org/614540
Gulf Of Riga,http://www.marineregions.org/mrgid/2409
Ghana,http://www.geonames.org/2300660
Haiti,http://www.geonames.org/3723988
Equatorial Guinea,http://www.geonames.org/2309096
El Salvador,http://www.geonames.org/3585968
Eritrea,http://www.geonames.org/338010
Fiji,http://www.geonames.org/2205218
Honduras,http://www.geonames.org/3608932
Guam,http://www.geonames.org/4043988
The Gambia,http://www.geonames.org/2413451
Guadeloupe,http://www.geonames.org/3579143
Guernsey,http://www.geonames.org/3042362
Falkland Islands,http://www.geonames.org/3474414
Macedonia,http://www.geonames.org/718075
Libya,http://www.geonames.org/2215636
Liechtenstein,http://www.geonames.org/3042058
Liberia,http://www.geonames.org/2275384
Lebanon,http://www.geonames.org/272103
Lesotho,http://www.geonames.org/932692
Laos,http://www.geonames.org/1655842
Kyrgyzstan,http://www.geonames.org/1527747
Kuwait,http://www.geonames.org/285570
Mauritius,http://www.geonames.org/934292
Kiribati,http://www.geonames.org/4030945
Jordan,http://www.geonames.org/248816
Israel,http://www.geonames.org/294640
Iraq,http://www.geonames.org/99237
Molukka Sea,http://www.marineregions.org/gazetteer.php?p=details&id=4354
Kosovo,http://www.geonames.org/831053
Malta,http://www.geonames.org/2562770
Southeast Europe,http://eol.org/schema/terms/SoutheastEurope
Molukka Sea,http://www.marineregions.org/mrgid/4354
Mayotte,http://www.geonames.org/1024031
Martinique,http://www.geonames.org/3570311
Saint Lucia,http://www.geonames.org/3576468
Senegal,http://www.geonames.org/2245662
Saudi Arabia,http://www.geonames.org/102358
Serbia,http://www.geonames.org/6290252
cosmopolitan,http://eol.org/schema/terms/Cosmopolitan
North Korea,http://www.geonames.org/1873107
Niue,http://www.geonames.org/4036232
Nepal,http://www.geonames.org/1282988
Savu Sea,http://www.marineregions.org/mrgid/4343
Northwestern Passages,http://www.marineregions.org/mrgid/5698
Saint Helena,http://www.geonames.org/3370751
Saint Martin,http://www.geonames.org/3578421
South China Sea,http://www.marineregions.org/mrgid/4332
South China Sea Islands,http://eol.org/schema/terms/South_China_Sea_Islands
Aruba,http://www.geonames.org/3577279
Uzbekistan,http://www.geonames.org/1512440
