Identifier	ScientificName	Parent TaxonID	Kingdom	Phylum	Sub Phylum	Class	Infraclass	Super Cohort	Cohort	Super Order	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Tribe	Genus	Species	Infraspecies	TaxonRank	FurtherInformationURL	TaxonomicStatus	TaxonRemarks	NamePublishedIn	ReferenceID
10113	Phrynobatrachidae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Phrynobatrachidae						Family					1
10114	Phrynobatrachus Günther, 1862		Animalia	Chordata	Vertebrata	Amphibia					Anura				Phrynobatrachidae			Phrynobatrachus			Genus					1
10115	Phrynobatrachus acridoides (Cope, 1867)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Phrynobatrachidae			Phrynobatrachus	acridoides 		Species			May also be in family Ranidae		1
10116	Phrynobatrachus mababiensis FitzSimons, 1932		Animalia	Chordata	Vertebrata	Amphibia					Anura				Phrynobatrachidae			Phrynobatrachus	mababiensis 		Species			May also be in family Ranidae		1
10117	Phrynobatrachus natalensis (Smith, 1849)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Phrynobatrachidae			Phrynobatrachus	natalensis 		Species			May also be in family Ranidae		1
10118	Pipidae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pipidae						Family					1
10119	Xenopus Wagler, 1827		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pipidae			Xenopus			Genus					1
10120	Xenopus gilli Rose & Hewitt, 1927		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pipidae			Xenopus	gilli 		Species					1
10121	Xenopus laevis (Daudin, 1802)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pipidae			Xenopus	laevis 		Species					1
10122	Xenopus muelleri (Peters, 1844)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pipidae			Xenopus	muelleri 		Species					1
10123	Ptychadenidae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae						Family					1
10124	Hildebrandtia Nieden, 1907		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae			Hildebrandtia			Genus					1
10125	Hildebrandtia ornata (Peters, 1878)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae			Hildebrandtia	ornata 		Species			May also be in family Ranidae		1
10126	Ptychadena Boulenger, 1917		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae			Ptychadena			Genus					1
10127	Ptychadena anchietae (Bocage, 1868)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae			Ptychadena	anchietae 		Species			May also be in family Ranidae		1
10128	Ptychadena mascareniensis (Duméril & Bibron, 1841)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae			Ptychadena	mascareniensis 		Species			May also be in family Ranidae		1
10129	Ptychadena mossambica (Peters, 1854)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae			Ptychadena	mossambica 		Species			May also be in family Ranidae		1
10130	Ptychadena oxyrhynchus (Smith, 1849)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae			Ptychadena	oxyrhynchus 		Species			May also be in family Ranidae		1
10131	Ptychadena porosissima (Steindachner, 1867)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae			Ptychadena	porosissima 		Species			May also be in family Ranidae		1
