taxonID	EOLid
Q14872139	18322
Q14874214	36321
Q148757	11440
Q14881798	1042885
Q14883045	1043685
Q14884412	46854311
Q14884935	29490
Q14886137	16960
Q14888567	110619
Q148938	43956
Q14898092	36355
Q149031	47182486
Q14905280	83701
Q14924321	65883
Q14925342	76811
Q14925646	new
Q14925689	77409
Q14925909	77569
Q14926010	29693
Q14926035	73642
Q14926080	65450
Q14926425	13181300
Q14926743	84195
Q14926790	29852
Q14926848	84341
Q14927235	new
Q14927368	47165458
Q14932390	3267361
Q14933570	110277
Q14943705	23560
Q149459	23809576
Q14950523	46817482
Q14954298	188601
Q149643	585546
Q1497039	24617
Q149886	47120610
Q149927	47178764
Q150162	8812261
Q15017992	42738
Q150436	57964648
Q15055223	47140714
Q150572	39839650
Q150667	46830620
Q1506945	47149292
Q15100136	47142315
Q15102091	19415
Q15102443	47134712
Q15110778	108631
Q15111312	47105686
Q15119464	79246
Q15126986	47127787
Q15133461	50535
Q15138811	108232
Q15140165	46564301
Q15146647	50787
Q15148054	46540287
Q15148512	new
Q15148529	46531940
Q15198702	1148272
Q1520764	594939
Q15211248	18104
Q15211446	46573268
Q15224958	596711
Q15225452	5514483
Q15225990	47107955
Q15226492	2895683
Q15226546	7019969
Q15226653	6211356
Q15226854	6185117
Q15226857	6211405
Q15227005	6211869
Q15227036	1014896
Q15227605	2872957
Q15227848	2872510
Q15227901	2907074
Q15227943	2907122
Q15228135	643287
Q15230715	2872937
Q15231637	2890617
Q15231718	6178532
Q15231891	2900577
Q15232341	2889896
Q15232651	2905980
Q15232815	581314
Q15235235	2890333
Q15235239	2888591
Q15235276	2890077
Q15235917	2873884
Q15236211	2880495
Q15237055	50364005
Q15237586	648517
Q15238870	6080473
Q15239126	46515538
Q15239737	6095634
Q15240154	5737304
Q15240260	1085882
Q15240391	2873609
Q15240873	46577997
Q15241017	97853
Q15241527	583364
Q15244649	923785
Q15244715	886660
Q15245004	50596484
Q15245887	2890735
Q15246698	47134456
Q15246796	19823480
Q15246986	47173011
Q15247006	6095671
Q15247185	890465
Q15247350	643275
Q15247527	690662
Q15247803	2873588
Q15248896	648911
Q15249469	2891325
Q15249484	6101889
Q15249563	2890061
Q15249721	47171012
Q15251333	6110005
Q15251550	648974
Q15260706	594717
Q15263826	59518
Q15279558	46804141
Q15280191	416474
Q15281445	2889053
Q15281513	47135302
Q15281685	2894439
Q1528196	1118014
Q15287016	1145966
Q15290282	51116994
Q15290291	4919956
Q1529233	35906
Q15295714	1115961
Q15296548	632524
Q15296730	631054
Q15298022	5999624
Q1529852	589815
Q15305080	46770655
Q15312069	585057
Q15312226	5824545
Q15312428	47147969
Q15312524	583980
Q15316733	47147913
Q15318589	1126967
Q15319990	1140066
Q15321107	597235
Q15321779	5676864
Q1532434	47010525
Q15324596	5499908
Q15325080	5499413
Q15325387	594990
Q15329275	11887790
Q15334098	5728164
Q15336153	49297641
Q15338499	48432771
Q15339109	866328
Q15340071	5239130
Q15340440	51845316
Q15341997	5107876
Q15343693	50104845
Q15344279	5019046
Q15344887	5227808
Q15346068	486628
Q15347273	23326804
Q15347279	2889344
Q15348032	47140265
Q15348397	27306349
Q15349407	5666151
Q15350846	47153762
Q15352333	31082928
Q15352446	5486859
Q15352462	5666243
Q15354160	303934
Q15356645	5334103
Q15356849	5423742
Q15357399	13671374
Q15359351	1397148
Q15359476	5392842
Q15361261	46818356
Q15361832	596963
Q15362022	582945
Q15363066	5024581
Q15364055	52200179
Q15366837	594688
Q15367179	1252578
Q15367218	1054135
Q15367264	5028469
Q15367496	1054964
Q15368813	5368344
Q15370256	2505567
Q15370325	1146227
Q15370588	49898473
Q15371759	47123289
Q15371851	47123288
Q15371892	5420041
Q15372235	5420226
Q15372269	23326267
Q15372997	5412668
Q15373582	6849507
Q15374241	5413187
Q15376747	5524956
Q15377154	594785
Q15379351	47158958
Q15379640	5529845
Q15380315	5407137
Q15380609	5406155
Q1538121	47183632
Q15381296	489584
Q15381512	1148318
Q15382288	5093850
Q15382791	47123638
Q15383041	47128008
Q15384063	5739475
Q15384420	5604703
Q15385008	46813793
Q15387143	2874825
Q15387402	1148233
Q15387540	1149280
Q15387594	5023339
Q15387682	47149522
Q15387934	2905974
Q15388761	5709567
Q15389480	5623682
Q15390350	1143941
Q15390922	2891428
Q15392043	47109401
Q15392406	5433858
Q15392413	23571558
Q15392486	319713
Q15392835	47109480
Q15393450	47122833
Q15395743	5431767
Q15396041	5304271
Q15396526	582763
Q15396949	5430967
Q15396963	5335913
Q15397055	5432004
Q15397562	5335800
Q15397627	6851109
Q15397864	488081
Q15398761	1095897
Q15399787	1095949
Q15399830	5611493
Q15400111	2898572
Q15401614	46715664
Q15408015	54366
Q15431467	1274968
Q15431688	1264771
Q15432476	11256997
Q15433684	1110433
Q15436973	1106188
Q15437111	51504572
Q15437712	1106167
Q15438753	1103000
Q1544130	21125
Q15443379	5646188
Q15444089	503453
Q15445106	5650330
Q15445286	593162
Q15445374	6204915
Q15445854	5650224
Q15446564	638885
Q15447942	640796
Q15451733	1130163
Q15452034	642854
Q15454361	640939
Q15455130	638528
Q15455333	638584
Q15463527	640375
Q15469192	416015
Q15470905	577609
Q15471556	1098626
Q15473222	8695349
Q15473920	417926
Q15478805	5720737
Q15481937	1099427
Q15481950	5684098
Q15483	47140239
Q15483565	1105883
Q15486704	2903033
Q15486735	5645065
Q15487356	5682930
Q1548736	16678
Q15487975	5644997
Q15488052	1103434
Q15488215	1141528
Q15490	5346614
Q15491739	1141733
Q15492041	5741290
Q15493622	5645749
Q15494176	1140408
Q15497487	1129644
Q15499581	5097875
Q15499986	1110635
Q15500750	5648780
Q15503093	54411
Q15503660	5849348
Q15503742	5849316
Q15505344	634928
Q15505969	631051
Q15507783	5812215
Q15507966	5819898
Q15508581	1115434
Q15508961	1083676
Q15511066	1114342
Q15512167	413987
Q15512769	414805
Q15513155	414804
Q15513232	639186
Q15515126	2907524
Q15515631	2878193
Q15516997	5796712
Q15518435	639269
Q15519804	639308
Q15521788	417554
Q15521880	639360
Q15522425	417840
Q15522947	639378
Q15523263	638821
Q15527139	5428394
Q15527517	52202079
Q15527786	5428633
Q15528083	5428674
Q15528089	5428729
Q15528361	646696
Q15528969	5626809
Q15529032	5628527
Q15529247	47121497
Q15529783	415362
Q15530111	416769
Q15530684	50421
Q15530831	5704639
Q15534367	644166
Q15534548	47118400
Q15535211	27496
Q15535413	5696874
Q15535629	639833
Q15535729	47112458
Q15537474	47114580
Q15537966	416732
Q15538028	416709
Q15538398	417095
Q15539282	415934
Q15540886	2894483
Q15542049	5147831
Q15542646	418092
Q15543361	300973
Q15545532	6181495
Q15545623	5163822
Q15545675	6233628
Q15545711	300884
Q15546026	640599
Q15546158	5133346
Q15547275	5159429
Q15547765	5159096
Q15548335	49173774
Q15548378	6200590
Q15548430	6240174
Q15550136	583688
Q15551185	5161012
Q15551936	6197677
Q15552945	47143137
Q15554386	5123803
Q15554410	6259440
Q15555696	1152259
Q15557938	50549566
Q15558139	1122739
Q15559673	468841
Q1556014	29336
Q15560215	509734
Q15560606	6249411
Q15560613	5110394
Q15561346	481388
Q15562372	5197995
Q15562731	6184089
Q15565120	6197625
Q15566846	6091461
Q15567512	51844151
Q15569150	5120996
Q15571278	6857446
Q15571362	6265659
Q15571364	2889314
Q15571782	587282
Q15572574	588663
Q15573394	490950
Q15573522	47131222
Q15575747	48990317
Q15576272	1081472
Q15576908	5349647
Q15576944	584326
Q15577374	6188034
Q15577416	5117797
Q15577782	1124010
Q15577893	51844147
Q15579310	6268822
Q15579410	6230411
Q15579505	5111527
