taxonID	furtherInformationURL	scientificName	taxonRank
1702300408	http://www.fao.org/fishery/species/2311/en	Trachurus mediterraneus (Steindachner, 1868) 	species
4220403203	http://www.fao.org/fishery/species/3596/en	Stenella coeruleoalba (Meyen, 1833) 	species
1090100707	http://www.fao.org/fishery/species/15411/en	Squalus melanurus (Fourmanoir &amp; Rivaton, 1979) 	species
4220402802	http://www.fao.org/fishery/species/18214/en	Lagenorhynchus obscurus (Gray, 1828) 	species
1060200501	http://www.fao.org/fishery/species/2006/en	Carcharias taurus (Rafinesque, 1810) 	species
1230100907	http://www.fao.org/fishery/species/2933/en	Oncorhynchus tshawytscha (Walbaum, 1792) 	species
7710200202	http://www.fao.org/fishery/species/2776/en	Laminaria japonica (Areschoug, 1851) 	species
1780100114	http://www.fao.org/fishery/species/2525/en	Sebastes fasciatus (Storer, 1856) 	species
1702300413	http://www.fao.org/fishery/species/3105/en	Trachurus capensis (Castelnau, 1861) 	species
1090500602	http://www.fao.org/fishery/species/2047/en	Oxynotus paradoxus (Frade, 1929) 	species
1480400501	http://www.fao.org/fishery/species/2220/en	Molva molva (Linnaeus, 1758) 	species
4060301001	http://www.fao.org/fishery/species/2733/en	Cystophora cristata (Erxleben, 1777) 	species
1080402302	http://www.fao.org/fishery/species/2829/en	Triakis semifasciata (Girard, 1854) 	species
1070400203	http://www.fao.org/fishery/species/12619/en	Hemiscyllium ocellatum (Bonnaterre, 1788) 	species
4060300101	http://www.fao.org/fishery/species/18222/en	Monachus monachus (Hermann, 1779) 	species
1210600207	http://www.fao.org/fishery/species/2107/en	Engraulis mordax (Girard, 1856) 	species
1070700103	http://www.fao.org/fishery/species/11434/en	Cirrhoscyllium japonicum (Kamohara, 1943) 	species
1750101401	http://www.fao.org/fishery/species/2477/en	Rastrelliger brachysoma (Bleeker, 1851) 	species
1090300405	http://www.fao.org/fishery/species/15417/en	Squatina australis (Regan, 1906) 	species
1090200401	http://www.fao.org/fishery/species/14454/en	Pliotrema warreni (Regan, 1906) 	species
2310901004	http://www.fao.org/fishery/species/3461/en	Cancer magister (Dana, 1852) 	species
3070800101	http://www.fao.org/fishery/species/2659/en	Buccinum undatum (Linnaeus, 1758) 	species
1702300414	http://www.fao.org/fishery/species/3106/en	Trachurus trecae (Cadenat, 1949) 	species
1720400204	http://www.fao.org/fishery/species/3261/en	Ammodytes personatus (Girard, 1856) 	species
2280100109	http://www.fao.org/fishery/species/2584/en	Penaeus japonicus (Bate, 1888) 	species
4060100601	http://www.fao.org/fishery/species/2728/en	Arctocephalus australis (Zimmerman, 1783) 	species
1060301201	http://www.fao.org/fishery/species/13494/en	Mitsukurina owstoni (Jordan, 1898) 	species
