Zenodo_id	Resource_id	Resource_name	Resource_URL	OpenData_URL
13316568	SC_guineabissau	Guinea Bissau Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_guineabissau.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/5ef913fe-cb28-4a91-ab0e-5f076b8a8739
13316570	SC_guinea	Guinea Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_guinea.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/3abf9530-01a5-4709-ae69-3c7b6dd1f2d6
13316572	SC_guyana	Guyana Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_guyana.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/8626ff02-33d1-4472-8e18-8b06fcbb5c5c
13316574	SC_haiti	Haiti Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_haiti.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/003224af-b788-44ac-9fa8-7d4323ac793c
13316576	SC_iceland	Iceland Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_iceland.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/2a86a401-a12d-4869-a616-e42c39ad7698
13316578	SC_india	India Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_india.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/aee81ee4-301d-4921-973e-4a70b5e5992f
13316580	SC_indonesia	Indonesia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_indonesia.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/a1e49ad2-f8f1-4eb3-adda-250c2846c359
13316582	SC_iran	Iran Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_iran.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/0010f2a2-3282-4af7-b267-cfc428a39c6b
13316590	SC_iraq	Iraq Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_iraq.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/c14bfd31-2460-41c8-927c-ca2087a886b2
13316598	SC_ireland	Ireland Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_ireland.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/2d61e095-e2c7-4fe5-9076-cc29ca0e8fdf
13316600	SC_israel	Israel Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_israel.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/7feaa9b4-fdde-49ba-b6cb-3d49d53b298f
13316602	SC_ivorycoast	Ivory Coast Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_ivorycoast.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/6b5f2bec-e39c-4493-87ec-820d7c65540c
13316660	SC_italy	Italy Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_italy.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/e39bc3a0-8af4-4695-8c43-71b935facfa7
13316662	SC_jamaica	Jamaica Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_jamaica.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/433d86f8-9b82-40be-baab-1236b311e4b9
13316664	SC_japan	Japan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_japan.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/10613b10-658e-46f3-a680-da76e04fc151
13317482	SC_jordan	Jordan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_jordan.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/e8c67533-33c3-4024-9a8f-7b591bf48823
