Label	URI
Padovani-Ferreira, B.	http://eol.org/schema/terms/Padovani-Ferreira_B
Rocha, L.A.	http://eol.org/schema/terms/Rocha_LA
Sedberry, G.	http://eol.org/schema/terms/Sedberry_G
Bonham, K.	http://eol.org/schema/terms/Bonham_K
de Queiroz, K.	http://eol.org/schema/terms/de_Queiroz_K
Mahler, D.L.	http://eol.org/schema/terms/Mahler_DL
Shea, G.	http://eol.org/schema/terms/Shea_G
Cogger, H.	http://eol.org/schema/terms/Cogger_H
Greenlees, M.	http://eol.org/schema/terms/Greenlees_M
Howell, K.	http://eol.org/schema/terms/Howell_K
Hutterer, R.	http://eol.org/schema/terms/Hutterer_R
Ekué, M.	http://eol.org/schema/terms/Ekué_M
Decher, J.	http://eol.org/schema/terms/Decher_J
Grismer, L.	http://eol.org/schema/terms/Grismer_L
Tognelli, M.	http://eol.org/schema/terms/Tognelli_M
Tirira, D.G.	http://eol.org/schema/terms/Tirira_DG
Molinari, J.	http://eol.org/schema/terms/Molinari_J
Mantilla-Meluk, H.	http://eol.org/schema/terms/Mantilla-Meluk_H
Mantilla, H.	http://eol.org/schema/terms/Mantilla_H
Burbidge, A.A.	http://eol.org/schema/terms/Burbidge_AA
Woinarski, J.	http://eol.org/schema/terms/Woinarski_J
Johnson, C.N.	http://eol.org/schema/terms/Johnson_CN
Hawkins, C.	http://eol.org/schema/terms/Hawkins_C
Burnett, S.	http://eol.org/schema/terms/Burnett_S
Winter, J.	http://eol.org/schema/terms/Winter_J
Menzies, J.	http://eol.org/schema/terms/Menzies_J
Dickman, C.	http://eol.org/schema/terms/Dickman_C
Lunde, D.	http://eol.org/schema/terms/Lunde_D
Woolley, P.	http://eol.org/schema/terms/Woolley_P
Pacifici, M.	http://eol.org/schema/terms/Pacifici_M
Lunney, D.	http://eol.org/schema/terms/Lunney_D
Menkhorst, P.	http://eol.org/schema/terms/Menkhorst_P
Carpenter, K.E.	http://eol.org/schema/terms/Carpenter_KE
Polidoro, B.	http://eol.org/schema/terms/Polidoro_B
Strongin, K.	http://eol.org/schema/terms/Strongin_K
Gerlach, J.	http://eol.org/schema/terms/Gerlach_J
Chandler, D.	http://eol.org/schema/terms/Chandler_D
Lavery, T.H.	http://eol.org/schema/terms/Lavery_TH
Pennay, M.	http://eol.org/schema/terms/Pennay_M
Rowe, R.	http://eol.org/schema/terms/Rowe_R
Maslakova, S.	http://eol.org/schema/terms/Maslakova_S
Iliffe, T.M.	http://eol.org/schema/terms/Iliffe_TM
Jacques, H.	http://eol.org/schema/terms/Jacques_H
