Page ID	eol_pk	Value URI	Label
4524114	R400-PK16184800	http://www.geonames.org/3017382	REP
4524109	R344-PK19347734	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524113	R210-PK16366518	http://www.geonames.org/2921044	REP
4524113	R400-PK16186489	http://www.geonames.org/3017382	REP
4524111	R406-PK11166355	http://www.marineregions.org/gazetteer.php?p=details&id=1912	PRM and REP
4524107	R344-PK19343427	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524108	R344-PK19326695	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524110	R344-PK19366583	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524157	R207-PK15282028	http://www.geonames.org/6251999	REP
4524157	R344-PK19343216	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
4524159	R344-PK19335729	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524158	R344-PK19333819	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524132	R344-PK19355998	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524131	R207-PK15279742	http://www.geonames.org/6251999	REP
4524131	R344-PK19332029	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
4441597	R161-PK15638416	http://www.geonames.org/2782113	PRM and REP
4524174	R288-PK15387406	http://www.geonames.org/1814991	PRM and REP
4524165	R207-PK15277213	http://www.geonames.org/6251999	REP
4524165	R344-PK19347631	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
4524147	R344-PK19343101	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
24187816	R231-PK17516811	http://www.geonames.org/192950	PRM and REP
4524186	R344-PK19357361	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524178	R400-PK16200499	http://www.geonames.org/3017382	PRM and REP
4524171	R344-PK19362196	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524168	R344-PK19332573	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524170	R344-PK19337426	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524172	R344-PK19362134	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524169	R344-PK19363635	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524098	R344-PK19341645	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524193	R344-PK19347884	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524199	R210-PK16370666	http://www.geonames.org/2921044	PRM and REP
4524198	R400-PK16179340	http://www.geonames.org/3017382	PRM and REP
4524183	R344-PK19318552	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524204	R344-PK19343908	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524203	R344-PK19356346	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524189	R344-PK19342040	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4524188	R344-PK19342228	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
13778752	R212-PK16422816	http://www.geonames.org/390903	REP
13778752	R344-PK19357614	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
4445282	R296-PK18587612	http://www.geonames.org/798549	PRM and REP
42399849	R400-PK16205787	http://www.geonames.org/3017382	PRM and REP
4441806	R344-PK19360036	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4441790	R344-PK19362952	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4441789	R344-PK19365601	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4441788	R344-PK19355969	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4441787	R344-PK19357317	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4441712	R344-PK19350608	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4441711	R344-PK19342103	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
42399795	R207-PK15268933	http://www.geonames.org/6251999	REP
42399795	R344-PK19334431	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
37153234	R190-PK15955220	http://www.geonames.org/3658394	REP
37153234	R202-PK16802457	http://www.geonames.org/3686110	REP
40106717	R202-PK16808005	http://www.geonames.org/3686110	REP
40106717	R285-PK18290074	http://www.geonames.org/3703430	REP
328056	R96-PK42757538	http://eol.org/schema/terms/Yucatan_moist_forests	REP
328056	R253-PK17833883	http://www.marineregions.org/gazetteer.php?p=details&id=mexico	REP
4441625	R344-PK19348859	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4441820	R344-PK19364854	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
42400153	R344-PK19365652	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
46559217	R105-PK13834375	https://www.wikidata.org/entity/Q2007	REP
46559217	R105-PK13833789	https://www.wikidata.org/entity/Q2023	REP
328000	R306-PK18631089	http://www.geonames.org/2403846	REP
328000	R319-PK18810326	http://www.geonames.org/366755	REP
4444697	R344-PK19333859	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
328609	R105-PK13834377	https://www.wikidata.org/entity/Q2007	REP
328609	R105-PK13833766	https://www.wikidata.org/entity/Q2009	REP
328609	R105-PK13833790	https://www.wikidata.org/entity/Q2023	REP
4445049	R344-PK19340495	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
